Method,File Precision,File Recall,File F1,Module Precision,Module Recall,Module F1,Line Precision,Line Recall,Line F1
Base Strong,84.23,84.23,84.23,84.23,84.23,84.23,55.13,47.33,48.43
Base Weak,78.65,78.82,78.7,78.65,78.82,78.7,35.92,28.49,29.97
Self-Consistency - Direct,76.92,76.92,76.92,76.92,76.92,76.92,35.56,27.74,29.21
Self-Consistency - Clustering,76.09,76.25,76.14,76.09,76.25,76.14,34.92,27.99,29.35
Self-Consistency - Universal,77.42,77.59,77.48,77.42,77.59,77.48,37.36,29.22,31.05
Best of N,76.25,76.25,76.25,76.25,76.25,76.25,36.55,29.11,30.34
Strong LM Single Attempt,80.5,81.6,80.84,80.5,81.6,80.84,50.94,44.05,44.76
Prompt Reduction,85.18,85.4,85.25,85.18,85.4,85.25,51.1,40.03,42.36
Weak LM First,77.82,77.82,77.82,77.82,77.82,77.82,37.4,30.17,31.41
Plan,85.5,86.62,85.87,85.5,86.62,85.87,49.7,44.09,43.99
Instance Level QA Pairs,83.57,84.12,83.75,83.57,84.12,83.75,49.5,40.7,41.74
Weak Router,79.87,80.28,79.99,79.87,80.28,79.99,42.78,37.03,37.43
Strong Router,80.17,80.34,80.23,80.17,80.34,80.23,43.08,36.01,36.91
1 Shot Succesfull - Random,77.93,77.93,77.93,77.93,77.93,77.93,34.93,25.86,28.02
5 Shot Succesfull - Random,78.16,78.16,78.16,78.16,78.16,78.16,36.14,28.47,29.87
1 Shot Succesfull - Similarity,78.22,78.4,78.28,78.22,78.4,78.28,35.89,28.8,29.95
5 Shot Succesfull - Similarity,78.2,78.2,78.2,78.2,78.2,78.2,38.7,29.47,31.64
Repo Structure,71.51,71.68,71.57,71.51,71.68,71.57,36.18,27.99,29.41
Repo Level QA Pairs,77.21,77.21,77.21,77.21,77.21,77.21,36.83,28.86,30.5
Repo Summary,76.25,76.66,76.36,76.25,76.66,76.36,36.24,28.64,30.23
